song,artist,first_no1_date,year,decade,weeks_at_number_one,length_sec,length_mmss,intro_length_sec,under_3_min
All I Have,Jennifer Lopez ft. LL Cool J,2003-02-08,2003,2000,4,254,4:14,32,0
In da Club,50 Cent,2003-03-08,2003,2000,9,193,3:13,15,0
Get Busy,Sean Paul,2003-05-10,2003,2000,3,211,3:31,10,0
21 Questions,50 Cent ft. Nate Dogg,2003-05-31,2003,2000,4,224,3:44,17,0
This is the Night,Clay Aiken,2003-06-28,2003,2000,2,212,3:32,9,0
Crazy in Love,Beyoncé ft. Jay-Z,2003-07-12,2003,2000,8,236,3:56,30,0
Shake Ya Tailfeather,"Nelly, P. Diddy, & Murphy Lee",2003-09-06,2003,2000,4,295,4:55,36,0
Baby Boy,Beyoncé ft. Sean Paul,2003-10-04,2003,2000,9,244,4:04,21,0
Stand Up,Ludacris ft. Shawnna,2003-12-06,2003,2000,1,213,3:33,11,0
Hey Ya!,Outkast,2003-12-13,2003,2000,9,235,3:55,1,0
The Way You Move,Outkast ft. Sleepy Brown,2004-02-14,2004,2000,1,234,3:54,17,0
Slow Jamz,Twista ft. Kanye West & Jamie Foxx,2004-02-21,2004,2000,1,212,3:32,6,0
Yeah!,Usher ft. Lil Jon & Ludacris,2004-02-28,2004,2000,12,250,4:10,19,0
Burn,Usher,2004-05-22,2004,2000,8,256,4:16,36,0
I Believe,Fantasia,2004-07-10,2004,2000,1,300,5:00,15,0
Confession Part II,Usher,2004-07-24,2004,2000,2,211,3:31,13,0
Slow Motion,Juvenile ft. Soulja Slim,2004-08-07,2004,2000,2,248,4:08,32,0
Lean Back,Terror Squad,2004-08-21,2004,2000,3,247,4:07,30,0
Goodies,Ciara ft. Petey Pablo,2004-09-11,2004,2000,7,223,3:43,6,0
My Boo,Usher & Alicia Keys,2004-10-30,2004,2000,6,223,3:43,35,0
Drop It Like It's Hot,Snoop Dogg ft. Pharrell Williams,2004-12-11,2004,2000,3,269,4:29,23,0
Let Me Love You,Mario,2005-01-01,2005,2000,9,256,4:16,22,0
Candy Shop,50 Cent ft. Olivia,2005-03-05,2005,2000,9,219,3:39,14,0
Hollaback Girl,Gwen Stefani,2005-05-07,2005,2000,4,199,3:19,6,0
We Belong Together,Mariah Carey,2005-06-04,2005,2000,14,201,3:21,21,0
Inside Your Heaven,Carrie Underwood,2005-07-02,2005,2000,1,225,3:45,14,0
Gold Digger,Kanye West ft. Jamie Foxx,2005-09-17,2005,2000,10,197,3:17,17,0
Run It!,Chris Brown ft. Juelz Santana,2005-11-26,2005,2000,5,229,3:49,19,0
Don't Forget About Us,Mariah Carey,2005-12-31,2005,2000,2,233,3:53,17,0
Laffy Taffy,D4L,2006-01-14,2006,2000,1,224,3:44,24,0
Grillz,"Nelly ft. Paul Wall, Ali & Gipp",2006-01-21,2006,2000,2,271,4:31,26,0
Check on It,Beyoncé ft. Bun B & Slim Thug,2006-02-04,2006,2000,5,210,3:30,17,0
You're Beautiful,James Blunt,2006-03-11,2006,2000,1,209,3:29,35,0
So Sick,Ne-Yo,2006-03-18,2006,2000,2,197,3:17,19,0
Temperature,Sean Paul,2006-04-01,2006,2000,1,218,3:38,15,0
Bad Day,Daniel Powter,2006-04-08,2006,2000,5,233,3:53,8,0
SOS,Rihanna,2006-05-13,2006,2000,3,238,3:58,14,0
Ridin',Chamillionaire ft. Krayzie Bone,2006-06-03,2006,2000,2,303,5:03,11,0
Hips Don't Lie,Shakira ft. Wyclef Jean,2006-06-17,2006,2000,2,218,3:38,9,0
Do I Make You Proud,Taylor Hicks,2006-07-01,2006,2000,1,248,4:08,14,0
Promiscuous,Nelly Furtado ft. Timbaland,2006-07-08,2006,2000,6,242,4:02,4,0
London Bridge,Fergie,2006-08-19,2006,2000,3,202,3:22,20,0
SexyBack,Justin Timberlake,2006-09-09,2006,2000,7,242,4:02,15,0
Money Maker,Ludacris ft. Pharrell Williams,2006-10-28,2006,2000,2,230,3:50,11,0
My Love,Justin Timberlake ft. T.I.,2006-11-11,2006,2000,3,281,4:41,19,0
I Wanna Love You,Akon ft. Snoop Dogg,2006-12-02,2006,2000,2,247,4:07,11,0
Irreplaceable,Beyoncé,2006-12-16,2006,2000,10,227,3:47,12,0
Say It Right,Nelly Furtado,2007-02-24,2007,2000,1,223,3:43,24,0
What Goes Around … Comes Around,Justin Timberlake,2007-03-03,2007,2000,1,313,5:13,19,0
This Is Why I'm Hot,MiMS,2007-03-10,2007,2000,2,259,4:19,11,0
Glamorous,Fergie ft. Ludacris,2007-03-24,2007,2000,2,246,4:06,16,0
Don't Matter,Akon,2007-04-07,2007,2000,2,249,4:09,32,0
Give It To Me,Timbaland ft. Nelly Furtado & Justin Timberlake,2007-04-21,2007,2000,2,236,3:56,25,0
Girlfriend,Avril Lavigne,2007-05-05,2007,2000,1,216,3:36,0,0
Makes Me Wonder,Maroon 5,2007-05-12,2007,2000,3,211,3:31,17,0
Buy U a Drank (Shawty Snappin'),T-Pain ft. Yung Joc,2007-05-26,2007,2000,1,227,3:47,23,0
Umbrella,Rihanna ft. Jay-Z,2007-06-09,2007,2000,7,275,4:35,3,0
Hey There Delilah,Plain White-T's,2007-07-28,2007,2000,2,232,3:52,9,0
Beautiful Girls,Sean Kingston,2007-08-11,2007,2000,4,225,3:45,33,0
Big Girls Don't Cry,Fergie,2007-09-08,2007,2000,1,268,4:28,10,0
Crank That (Soulja Boy),Soulja Boy Tell 'Em,2007-09-15,2007,2000,7,221,3:41,14,0
Stronger,Kanye West,2007-09-29,2007,2000,1,311,5:11,5,0
Kiss Kiss,Chris Brown ft. T-Pain,2007-11-10,2007,2000,3,250,4:10,27,0
No One,Alicia Keys,2007-12-01,2007,2000,5,253,4:13,12,0
Low,Flo Rida ft. T-Pain,2008-01-05,2008,2000,10,231,3:51,16,0
Love in This Club,Usher ft. Young Jeezy,2008-03-15,2008,2000,3,259,4:19,20,0
Bleeding Love,Leona Lewis,2008-04-05,2008,2000,4,261,4:21,18,0
Touch My Body,Mariah Carey,2008-04-12,2008,2000,2,204,3:24,12,0
Lollipop,Lil Wayne ft. Static Major,2008-05-03,2008,2000,5,299,4:59,51,0
Take a Bow,Rihanna,2008-05-24,2008,2000,1,229,3:49,23,0
Viva La Vida,Coldplay,2008-06-28,2008,2000,1,242,4:02,16,0
I Kissed a Girl,Katy Perry,2008-07-05,2008,2000,7,179,2:59,3,1
Disturbia,Rihanna,2008-08-23,2008,2000,2,238,3:58,17,0
Whatever You Like,T.I.,2008-09-06,2008,2000,7,249,4:09,12,0
So What,P!nk,2008-09-27,2008,2000,1,215,3:35,12,0
Live Your Life,T.I. ft. Rihanna,2008-10-18,2008,2000,6,338,5:38,24,0
Womanizer,Britney Spears,2008-10-25,2008,2000,1,224,3:44,14,0
Single Ladies (Put a Ring on It),Beyoncé,2008-12-13,2008,2000,4,193,3:13,3,0
Just Dance,Lady Gaga ft. Colby O'Donis,2009-01-17,2009,2000,3,241,4:01,16,0
My Life Would Suck Without You,Kelly Clarkson,2009-02-17,2009,2000,2,211,3:31,15,0
Crack a Bottle,"Eminem, Dr. Dre, & 50 Cent",2009-02-21,2009,2000,1,297,4:57,30,0
Right Round,Flo Rida,2009-02-28,2009,2000,6,204,3:24,8,0
Poker Face,Lady Gaga,2009-04-11,2009,2000,1,237,3:57,24,0
Boom Boom Pow,The Black Eyed Peas,2009-04-18,2009,2000,12,252,4:12,14,0
I Gotta Feeling,The Black Eyed Peas,2009-07-11,2009,2000,14,289,4:49,28,0
Down,Jay Sean ft. Lil Wayne,2009-10-17,2009,2000,2,212,3:32,4,0
3,Britney Spears,2009-10-24,2009,2000,1,205,3:25,0,0
Fireflies,Owl City,2009-11-07,2009,2000,2,228,3:48,21,0
Whatcha Say,Jason Derulo,2009-11-14,2009,2000,1,221,3:41,0,0
Empire State of Mind,Jay-Z & Alicia Keys,2009-11-28,2009,2000,5,276,4:36,9,0
Tik Tok,Kesha,2010-01-02,2010,2010,9,299,4:59,0,0
Imma Be,The Black Eyed Peas,2010-03-06,2010,2010,2,257,4:17,5,0
Break Your Heart,Taio Cruz ft. Ludacris,2010-03-20,2010,2010,1,186,3:06,17,0
Rude Boy,Rihanna,2010-03-27,2010,2010,5,222,3:42,11,0
Nothin' On You,B.o.B. ft. Bruno Mars,2010-05-01,2010,2010,2,268,4:28,4,0
OMG,Usher ft. will.i.am,2010-05-15,2010,2010,4,269,4:29,13,0
Not Afraid,Eminem,2010-05-22,2010,2010,1,248,4:08,22,0
California Gurls,Katy Perry ft. Snoop Dogg,2010-06-19,2010,2010,6,236,3:56,7,0
Love the Way You Lie,Eminem ft. Rihanna,2010-07-31,2010,2010,7,263,4:23,0,0
Teenage Dream,Katy Perry,2010-09-18,2010,2010,2,227,3:47,4,0
Just the Way You Are,Bruno Mars,2010-10-02,2010,2010,4,220,3:40,18,0
Like a G6,Far East Movement ft. The Cataracs & Dev,2010-10-30,2010,2010,3,206,3:26,0,0
We R Who We R,Kesha,2010-11-13,2010,2010,1,204,3:24,6,0
What's My Name?,Rihanna ft. Drake,2010-11-20,2010,2010,1,263,4:23,0,0
Only Girl (In the World),Rihanna,2010-12-04,2010,2010,1,235,3:55,14,0
Raise Your Glass,P!nk,2010-12-11,2010,2010,1,202,3:22,9,0
Firework,Katy Perry,2010-12-18,2010,2010,4,227,3:47,8,0
Grenade,Bruno Mars,2011-01-08,2011,2010,4,223,3:43,4,0
Hold It Against Me,Britney Spears,2011-01-29,2011,2010,1,228,3:48,8,0
Black and Yellow,Wiz Khalifa,2011-02-19,2011,2010,1,207,3:27,0,0
Born This Way,Lady Gaga,2011-02-26,2011,2010,6,260,4:20,28,0
E.T.,Katy Perry ft. Kanye West,2011-04-09,2011,2010,5,229,3:49,31,0
S&M,Rihanna ft. Britney Spears,2011-04-30,2011,2010,1,257,4:17,30,0
Rolling in the Deep,Adele,2011-05-21,2011,2010,7,228,3:48,5,0
Give Me Everything,"Pitbull ft. Ne-Yo, Afrojack, & Nayer",2011-07-08,2011,2010,1,252,4:12,15,0
Party Rock Anthem,LMFAO ft. Lauren Bennett & GoonRock,2011-07-16,2011,2010,6,266,4:26,29,0
Last Friday Night (T.G.I.F.),Katy Perry,2011-08-27,2011,2010,2,230,3:50,7,0
Moves Like Jagger,Maroon 5 ft. Christina Aguilera,2011-09-10,2011,2010,4,201,3:21,14,0
Someone Like You,Adele,2011-09-17,2011,2010,5,285,4:45,14,0
We Found Love,Rihanna ft. Calvin Harris,2011-11-12,2011,2010,10,215,3:35,8,0
Sexy and I Know It,LMFAO,2012-01-07,2012,2010,2,199,3:19,15,0
Set Fire to the Rain,Adele,2012-02-04,2012,2010,2,242,4:02,8,0
Stronger (What Doesn't Kill You),Kelly Clarkson,2012-02-18,2012,2010,3,221,3:41,8,0
Part of Me,Katy Perry,2012-03-03,2012,2010,1,216,3:36,2,0
We Are Young,fun. ft. Janelle Monáe,2012-03-17,2012,2010,6,250,4:10,8,0
Somebody That I Used to Know,Gotye ft. Kimbra,2012-04-28,2012,2010,8,244,4:04,19,0
Call Me Maybe,Carly Rae Jepsen,2012-06-23,2012,2010,9,193,3:13,4,0
Whistle,Flo Rida,2012-08-25,2012,2010,2,224,3:44,8,0
We Are Never Ever Getting Back Together,Taylor Swift,2012-09-01,2012,2010,3,191,3:11,5,0
One More Night,Maroon 5,2012-09-29,2012,2010,9,209,3:29,10,0
Diamonds,Rihanna,2012-12-01,2012,2010,3,225,3:45,13,0
Locked Out of Heaven,Bruno Mars,2012-12-22,2012,2010,6,233,3:53,17,0
Thrift Shop,Macklemore & Ryan Lewis ft. Wanz,2013-02-02,2013,2010,6,235,3:55,33,0
Harlem Shake,Baauer,2013-03-02,2013,2010,5,196,3:16,16,0
When I Was Your Man,Bruno Mars,2013-04-20,2013,2010,1,213,3:33,13,0
Just Give Me a Reason,P!nk ft. Nate Ruess,2013-04-27,2013,2010,3,242,4:02,10,0
Can't Hold Us,Macklemore & Ryan Lewis ft. Ray Dalton,2013-05-18,2013,2010,5,258,4:18,20,0
Blurred Lines,Robin Thicke ft. T.I. & Pharrell Williiams,2013-06-22,2013,2010,12,263,4:23,19,0
Roar,Katy Perry,2013-09-14,2013,2010,2,223,3:43,5,0
Wrecking Ball,Miley Cyrus,2013-09-28,2013,2010,3,221,3:41,7,0
Royals,Lorde,2013-10-12,2013,2010,9,190,3:10,0,0
The Monster,Eminem ft. Rihanna,2013-12-21,2013,2010,4,250,4:10,0,0
Timber,Pitbull ft. Kesha,2014-01-18,2014,2010,3,204,3:24,7,0
Dark Horse,Katy Perry ft. Juicy J,2014-02-08,2014,2010,4,215,3:35,15,0
Happy,Pharrell Williams,2014-03-08,2014,2010,10,232,3:52,2,0
All of Me,John Legend,2014-05-17,2014,2010,3,269,4:29,8,0
Fancy,Iggy Azalea ft. Charli XCX,2014-06-07,2014,2010,7,199,3:19,8,0
Rude,MAGIC!,2014-07-26,2014,2010,6,224,3:44,1,0
Shake It Off,Taylor Swift,2014-09-06,2014,2010,4,209,3:29,5,0
All About that Bass,Meghan Trainor,2014-09-20,2014,2010,8,187,3:07,0,0
Blank Space,Taylor Swift,2014-11-29,2014,2010,7,231,3:51,5,0
Uptown Funk,Mark Ronson ft. Bruno Mars,2015-01-17,2015,2010,14,269,4:29,8,0
See You Again,Wiz Khalifa ft. Charlie Puth,2015-04-25,2015,2010,12,229,3:49,11,0
Bad Blood,Taylor Swift ft. Kendrick Lamar,2015-06-06,2015,2010,1,200,3:20,0,0
Cheerleader,OMI,2015-07-25,2015,2010,6,180,3:00,15,0
Can't Feel My Face,The Weeknd,2015-08-22,2015,2010,3,213,3:33,8,0
What Do You Mean?,Justin Bieber,2015-09-19,2015,2010,1,205,3:25,14,0
The Hills,The Weeknd,2015-10-03,2015,2010,6,242,4:02,8,0
Hello,Adele,2015-11-14,2015,2010,10,295,4:55,6,0
Sorry,Justin Bieber,2016-01-23,2016,2010,3,200,3:20,9,0
Love Yourself,Justin Bieber,2016-02-13,2016,2010,2,233,3:53,0,0
PILLOWTALK,Zayn,2016-02-20,2016,2010,1,202,3:22,15,0
Work,Rihanna ft. Drake,2016-03-05,2016,2010,9,219,3:39,10,0
Panda,Desiigner,2016-05-07,2016,2010,2,247,4:07,40,0
One Dance,Drake ft. Wizkid & Kyla,2016-05-21,2016,2010,10,173,2:53,11,1
CAN'T STOP THE FEELING!,Justin Timberlake,2016-05-28,2016,2010,1,237,3:57,7,0
Cheap Thrills,Sia ft. Sean Paul,2016-08-06,2016,2010,4,224,3:44,11,0
Closer,The Chainsmokers ft. Halsey,2016-09-03,2016,2010,12,244,4:04,10,0
Black Beatles,Rae Sremmurd ft. Gucci Mane,2016-11-26,2016,2010,7,291,4:51,27,0
Starboy,The Weeknd ft. Daft Punk,2017-01-07,2017,2010,1,230,3:50,16,0
Bad and Boujee,Migos ft. Lil Uzi Vert,2017-01-21,2017,2010,3,343,5:43,8,0
Shape of You,Ed Sheeran,2017-01-28,2017,2010,12,233,3:53,10,0
HUMBLE.,Kendrick Lamar,2017-05-06,2017,2010,1,177,2:57,7,1
That's What I Like,Bruno Mars,2017-05-13,2017,2010,1,206,3:26,3,0
I'm the One,"DJ Khaled ft. Justin Bieber, Quavo, Chance the Rapper, & Lil Wayne",2017-05-20,2017,2010,1,288,4:48,11,0
Despacito,Luis Fonsi & Daddy Yankee ft. Justin Bieber,2017-05-27,2017,2010,16,228,3:48,9,0
Look What You Made Me Do,Taylor Swift,2017-09-16,2017,2010,3,211,3:31,15,0
Bodak Yellow,Cardi B,2017-10-07,2017,2010,3,223,3:43,13,0
rockstar,Post Malone ft. 21 Savage,2017-10-28,2017,2010,8,218,3:38,14,0
Perfect,Ed Sheeran & Beyoncé,2017-12-23,2017,2010,6,269,4:29,2,0
Havana,Camila Cabello ft. Young Thug,2018-01-27,2018,2010,1,217,3:37,8,0
God's Plan,Drake,2018-02-03,2018,2010,11,198,3:18,12,0
Nice For What,Drake,2018-04-21,2018,2010,8,210,3:30,34,0
This is America,Childish Gambino,2018-05-19,2018,2010,2,225,3:45,49,0
Psycho,Post Malone ft. Ty Dolla $ign,2018-06-16,2018,2010,1,221,3:41,12,0
SAD!,XXXTENTACION,2018-06-30,2018,2010,1,166,2:46,25,1
I Like It,"Cardi B, Bad Bunny, & J Balvin",2018-07-07,2018,2010,1,253,4:13,13,0
In My Feelings,Drake,2018-07-21,2018,2010,10,217,3:37,11,0
Girls Like You,Maroon 5 ft. Cardi B,2018-09-29,2018,2010,7,235,3:55,6,0
"thank u, next",Ariana Grande,2018-11-17,2018,2010,7,207,3:27,8,0
SICKO MODE,Travis Scott,2018-12-08,2018,2010,1,312,5:12,28,0
Without Me,Halsey,2019-01-12,2019,2010,2,201,3:21,14,0
Sunflower,Post Malone & Swae Lee,2019-01-19,2019,2010,1,158,2:38,27,1
7 rings,Ariana Grande,2019-02-02,2019,2010,8,178,2:58,14,1
Shallow,Lady Gaga & Bradley Cooper,2019-03-09,2019,2010,1,217,3:37,15,0
Sucker,Jonas Brothers,2019-03-16,2019,2010,1,181,3:01,0,0
Old Town Road,Lil Nas X ft. Billy Ray Cyrus,2019-04-13,2019,2010,19,157,2:37,13,1
bad guy,Billie Eilish,2019-08-24,2019,2010,1,194,3:14,13,0
Señorita,Shawn Mendes & Camila Cabello,2019-08-31,2019,2010,1,190,3:10,15,0
Truth Hurts,Lizzo,2019-09-07,2019,2010,7,173,2:53,11,1
HIGHEST IN THE ROOM,Travis Scott,2019-10-19,2019,2010,1,175,2:55,12,1
Someone You Loved,Lewis Capaldi,2019-11-02,2019,2010,3,182,3:02,8,0
Lose You to Love Me,Selena Gomez,2019-11-09,2019,2010,1,206,3:26,10,0
Circles,Post Malone,2019-11-30,2019,2010,3,215,3:35,34,0
Heartless,The Weeknd,2019-12-14,2019,2010,1,198,3:18,23,0
All I Want for Christmas is You,Mariah Carey,2019-12-21,2019,2010,8,241,4:01,57,0
The Box,Roddy Ricch,2020-01-18,2020,2020,11,196,3:16,15,0
Blinding Lights,The Weeknd,2020-04-04,2020,2020,4,200,3:20,27,0
Toosie Slide,Drake,2020-04-18,2020,2020,1,247,4:07,10,0
THE SCOTTS,Travis Scott & Kid Cudi,2020-05-09,2020,2020,1,165,2:45,23,1
Say So,Doja Cat ft. Nicki Minaj,2020-05-16,2020,2020,1,206,3:26,10,0
Stuck With U,Ariana Grande & Justin Bieber,2020-05-23,2020,2020,1,228,3:48,20,0
Savage,Megan Thee Stallion ft. Beyoncé,2020-05-30,2020,2020,1,242,4:02,12,0
Rain on Me,Lady Gaga & Ariana Grande,2020-06-06,2020,2020,1,182,3:02,1,0
ROCKSTAR,DaBaby ft. Roddy Ricch,2020-06-13,2020,2020,7,181,3:01,21,0
TROLLZ,6ix9ine & Nicki Minaj,2020-06-27,2020,2020,1,202,3:22,3,0
cardigan,Taylor Swift,2020-08-08,2020,2020,1,239,3:59,7,0
Watermelon Sugar,Harry Styles,2020-08-15,2020,2020,1,176,2:56,0,1
WAP,Cardi B ft. Megan Thee Stallion,2020-08-22,2020,2020,4,187,3:07,6,0
Dynamite,BTS,2020-09-05,2020,2020,3,199,3:19,0,0
FRANCHISE,Travis Scott ft. Young Thug & M.I.A.,2020-10-10,2020,2020,1,202,3:22,22,0
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo, & BTS",2020-10-17,2020,2020,1,185,3:05,2,0
Mood,24kGoldn ft. iann dior,2020-10-24,2020,2020,8,140,2:20,9,1
positions,Ariana Grande,2020-11-07,2020,2020,1,172,2:52,7,1
Life Goes On,BTS,2020-12-05,2020,2020,1,207,3:27,11,0
willow,Taylor Swift,2020-12-26,2020,2020,1,214,3:34,12,0
drivers license,Olivia Rodrigo,2021-01-23,2021,2020,8,242,4:02,8,0
What's Next,Drake,2021-03-20,2021,2020,1,178,2:58,15,1
Up,Cardi B,2021-03-27,2021,2020,1,156,2:36,6,1
Peaches,Justin Bieber ft. Daniel Caeser & Giveon,2021-04-03,2021,2020,1,198,3:18,9,0
MONTERO (Call Me By Your Name),Lil Nas X,2021-04-10,2021,2020,1,137,2:17,7,1
Leave the Door Open,Silk Sonic,2021-04-17,2021,2020,2,242,4:02,13,0
RAPSTAR,Polo G,2021-04-24,2021,2020,2,165,2:45,10,1
Save Your Tears,The Weeknd & Ariana Grande,2021-05-08,2021,2020,2,191,3:11,8,0
good 4 u,Olivia Rodrigo,2021-05-29,2021,2020,1,178,2:58,6,1
Butter,BTS,2021-06-05,2021,2020,10,164,2:44,4,1
Permission to Dance,BTS,2021-07-24,2021,2020,1,187,3:07,0,0
STAY,The Kid Laroi & Justin Bieber,2021-08-14,2021,2020,7,141,2:21,11,1
Way 2 Sexy,Drake ft. Future & Young Thug,2021-09-18,2021,2020,1,257,4:17,14,0
My Universe,Coldplay & BTS,2021-10-09,2021,2020,1,228,3:48,4,0
INDUSTRY BABY,Lil Nas X & Jack Harlow,2021-10-23,2021,2020,1,212,3:32,6,0
Easy on Me,Adele,2021-10-30,2021,2020,10,224,3:44,13,0
All Too Well (10 Minute Version),Taylor Swift,2021-11-27,2021,2020,1,613,10:13,23,0
We Don't Talk About Bruno,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, and the Encanto cast",2022-02-05,2022,2020,5,216,3:36,1,0
Heat Waves,Glass Animals,2022-03-12,2022,2020,5,238,3:58,41,0
As It Was,Harry Styles,2022-04-16,2022,2020,15,167,2:47,14,1
First Class,Jack Harlow,2022-04-23,2022,2020,3,173,2:53,4,1
WAIT 4 U,Future ft. Drake & Tems,2022-05-14,2022,2020,1,189,3:09,22,0
Jimmy Cooks,Drake ft. 21 Savage,2022-07-02,2022,2020,1,218,3:38,26,0
About Damn Time,Lizzo,2022-07-30,2022,2020,2,191,3:11,10,0
BREAK MY SOUL,Beyoncé,2022-08-13,2022,2020,2,278,4:38,21,0
Super Freaky Girl,Nicki Minaj,2022-08-27,2022,2020,1,170,2:50,10,1
Bad Habit,Steve Lacy,2022-10-08,2022,2020,3,232,3:52,2,0
Unholy,Sam Smith & Kim Petras,2022-10-29,2022,2020,1,156,2:36,21,1
Anti-Hero,Taylor Swift,2022-11-05,2022,2020,8,200,3:20,5,0
Flowers,Miley Cyrus,2023-01-28,2023,2020,8,200,3:20,8,0
Die for You,The Weeknd & Ariana Grande,2023-03-11,2023,2020,1,232,3:52,15,0
Last Night,Morgan Wallen,2023-03-18,2023,2020,16,163,2:43,9,1
Like Crazy,Jimin,2023-04-08,2023,2020,1,212,3:32,15,0
Kill Bill,SZA,2023-04-29,2023,2020,1,153,2:33,14,1
vampire,Olivia Rodrigo,2023-07-15,2023,2020,2,291,4:51,14,0
Seven,Jungkook ft. Latto,2023-07-29,2023,2020,1,184,3:04,9,0
Try That in a Small Town,Jason Aldean,2023-08-05,2023,2020,1,180,3:00,16,0
Rich Men North of Richmond,Oliver Anthony Music,2023-08-26,2023,2020,2,187,3:07,0,0
I Remember Everything,Zach Bryan ft. Kacey Musgraves,2023-09-09,2023,2020,1,227,3:47,22,0
Paint the Town Red,Doja Cat,2023-09-16,2023,2020,3,231,3:51,19,0
Slime You Out,Drake ft. SZA,2023-09-30,2023,2020,1,310,5:10,24,0
First Person Shooter,Drake ft. J Cole,2023-10-21,2023,2020,1,247,4:07,23,0
Cruel Summer,Taylor Swift,2023-10-28,2023,2020,4,178,2:58,5,1
Is It Over Now?,Taylor Swift,2023-11-11,2023,2020,1,229,3:49,24,0
Lovin On Me,Jack Harlow,2023-12-02,2023,2020,6,138,2:18,9,1
Rockin' Around the Christmas Tree,Brenda Lee,2023-12-09,2023,2020,3,126,2:06,7,1
"yes, and?",Ariana Grande,2024-01-27,2024,2020,1,214,3:34,48,0
HISS,Megan Thee Stallion,2024-02-10,2024,2020,1,192,3:12,17,0
TEXAS HOLD 'EM,Beyoncé,2024-03-02,2024,2020,2,233,3:53,13,0
CARNIVAL,Kanye West & Ty Dolla $ign ft. Rich the Kid & Playboi Cardi,2024-03-16,2024,2020,1,264,4:24,38,0
we can't be friends (wait for your love),Ariana Grande,2024-03-23,2024,2020,1,228,3:48,7,0
Lose Control,Teddy Swims,2024-03-30,2024,2020,1,210,3:30,5,0
Like That,"Future, Metro Boomin, & Kendrick Lamar",2024-04-06,2024,2020,3,267,4:27,18,0
Too Sweet,Hozier,2024-04-27,2024,2020,1,251,4:11,20,0
Fortnight,Taylor Swift ft. Post Malone,2024-05-04,2024,2020,2,228,3:48,3,0
Not Like Us,Kendrick Lamar,2024-05-18,2024,2020,2,234,3:54,7,0
I Had Some Help,Post Malone ft. Morgan Wallen,2024-05-25,2024,2020,6,178,2:58,15,1
Please Please Please,Sabrina Carpenter,2024-06-29,2024,2020,1,186,3:06,18,0
A Bar Song (Tipsy),Shaboozey,2024-07-13,2024,2020,19,171,2:51,12,1
Love Somebody,Morgan Wallen,2024-11-02,2024,2020,1,204,3:24,15,0
squabble up,Kendrick Lamar,2024-12-07,2024,2020,1,157,2:37,9,1
Die with a Smile,Bruno Mars & Lady Gaga,2025-01-11,2025,2020,2,251,4:11,9,0
